HSC,MPP,CMP,GMP,MEP,Erythrocytes,Megakaryocytes,Platelets,B-cells,CD4 T-cells,CD8 T-cells,NK cells,Basophils,Eosinophils,Neutrophils,CD14 Monocytes,CD16 Monocytes,Macrophages,DC,cDC,pDC
CRHBP,CRHBP,MPO,MPO,HPGDS,AHSP,CLEC1B,ACSBG1,CD19,CD28,CD8A,NCR1,BCL2L11,CCR3,CXCR2,FCN1,FCGR3A,ACP2,CCL17,CD1C,GZMB
GSTM5,AVP,MS4A3,DNTT,CTNNBL1,ALAS2,GP1BA,ALOX12,FCRL2,CTLA4,CD8B,PTGDR,C11orf16,HRH4,FCGR3B,CFP,CDKN1C,ADAMDEC1,CD1B,FCER1A,SCT
CTNNA3,IGLL1,MS4A2,FLT3,FXN,EPB42,SELP,ARHGAP6,BLK,ICOS,DSC1,XCL1,DENND1A,CLC,CEACAM3,ASGR2,MTSS1,VSIG4,CD1E,CD1E,SPIB
ELN,KIAA0125,GPR27,PRG2,MRPS2,GYPE,PF4V1,CABP5,CD37,PLCL1,CRTAM,DNAJB14,FCN1,IL5RA,FPR2,MS4A6A,SIGLEC10,CLEC5A,CCL13,CLEC10A,TLR7
EMCN,MPO,STAR,RNASE2,ACD,KLF1,GP6,CLEC1B,CD79A,CD2,PCNT,IL18RAP,NMUR1,CEBPE,TREM1,S100A12,IFITM1,FDX1,ALOX15,CCL17,CD2AP
LECT1,MPL,AZU1,CPA3,PCCB,MYL4,ARHGAP6,GP1BA,CD22,CD40LG,TSPAN32,KLRD1,NPY5R,DPEP2,BTNL8,FCAR,HMOX1,HAMP,CD1A,CCL24,CUX2
SYPL1,FLT3,CENPJ,CRHBP,PNMT,HMBS,KALRN,MLH3,MS4A1,CD5,CD27,NMUR1,POLDIP3,GIPR,CA4,TREM1,TAGLN,DNASE2B,CD209,CD1A,DNASE1L3
ERG,VPREB3,CPA3,ARPP21,ERAL1,RHAG,MPL,PDE6H,SP140,LEPROTL1,CD96,TBX21,WRAP53,SIGLEC8,CXCR1,FBXL5,MS4A7,LILRB4,CCL22,CD1B,FLT3
CD34,ITGA9,CTSG,GTPBP4,HDC,HBD,RGS6,PF4V1,STAP1,SIRPG,LY9,TKTL1,AHCTF1,ABTB2,MMP25,LILRA5,CSF1R,CD84,CCL18,CD209,FUT7
FAM124B,ABO,ERLIN1,KIF17,RUVBL1,CA1,TUBB1,SEC14L5,GGA2,TRAT1,CA6,FASLG,AKAP4,ALOX15,P2RY13,VENTX,IFITM2,FKBP15,ALDH1A2,CD80,IDH3A
LAPTM4B,CPA3,HIST1H2BO,TRH,AIMP2,GYPA,VWF,SELP,MBD4,BAD,CIAPIN1,GNLY,AMOTL2,DEFA4,PGLYRP1,MEFV,SOD1,MSR1,FPR3,DNASE1L3,KCNA5
MMRN1,NUP98,LPAR4,CLC,CHAF1B,EPX,ANXA3,TUBB1,PNOC,CCR4,GGNBP2,GZMB,ARR3,KSR1,ZDHHC18,LILRA1,CX3CR1,SDS,C1QB,GFRA2,KCNK10
PDE6G,P2RX1,PRG2,CTSG,CPA3,GYPB,HBD,ACTR10,SMC6,CD3G,MTRF1,IL2RB,ART3,MMP25,VNN3,LILRB2,LILRB1,CYBB,CD80,KCNK13,LILRB4
PLS3,SPN,RNASE2,GNL2,CRHBP,HBB,,ADCY8,STAG3,FOXP3,NDFIP1,PRF1,ATXN3L,TRPM6,ACAP2,P2RY13,PSCDBP,HK3,CD86,ALCAM,LRRC36
ATP8B4,AGAP2,SPAG8,HNRNPA1,DCTPP1,PKLR,,ADI1,SNX2,HIPK1,PLXDC1,PTPN4,BMP10,ARHGAP33,APAF1,RETN,ITGAL,ATP6V0C,CLEC10A,CCDC88A,P2RY14
CLEC3B,CD37,TPSAB1,KCNJ14,EXOSC5,RHD,,AKAP3,HLA-DOA,HMOX2,PRMT2,SACM1L,C6orf10,CORO7,BEST1,CCR2,C6orf187,ATP6V1H,SLCO5A1,CD86,PTCRA
CRYGD,CSF3R,ZKSCAN3,LPAR4,FMO1,XPO7,,ANO2,SPIB,NUDCD3,DPP8,AGK,C8A,ENTPD2,CBL,CD101,KLF2,CCL22,CCL19,DBI,CSHL1
EXD2,CTSW,ZNF197,MTIF2,IFRD2,BRCA1,,ARHGEF12,VPREB3,PPP2CA,GZMK,ASTE1,CASS4,EPN2,CLC,CD300C,WARS,HEXA,CCL23,ITGAX,HIST1H2BB
FLT3,DPPA4,BAHCC1,TTF2,MTG1,CCNB2,,ARMC7,CD180,SUPV3L1,KLRG1,CD244,CLCA4,KCNK7,CLEC4E,CLEC5A,MAFB,LONRF3,FCER2,RAB7A,
KLHL9,ESYT1,CLC,VPREB1,NOL12,CDCA3,,ASAP2,CD53,GOLGA4,MMP19,CHRNE,CXCR2,KDM6B,CSF2RB,FOLR2,GCH1,MAPK13,HLA-DQA1,RRP1B,
MYCT1,FCER1A,CRHBP,ATP5J,NTRK1,CENPF,,ASB8,CD72,SON,MYOM1,GIPR,EFNA2,LTF,CSF3R,FPR2,CD97,MARCO,SPINT2,SLAMF8,
